crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45
1,0,0.145898752982439,0.772186848851652,p3,C3,0,-0.27484837968,0.182437060286888,-0.150754605256997,-0.0816586035108661,-0.108181713013332,0.421953253287581,0.434391179230329,0.207016531083948,0.120531840864834,0.0258097575909505,0.163104733108499,-0.262865377003862,0.391818286986666,-0.0816586035108644,-0.379468159135165,-0.262865377003862,-0.108181713013334,-0.370333738105678,0.163104733108499,0.314484892185764,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1
2,1,0.145040347444646,0.763127148297553,p2,C2,0,-0.386128344734723,0.131634578835233,-0.0524927041727629,-0.496757263648986,-0.336048812468894,-0.268636159888621,-0.102572230255525,-0.0964865298994143,-0.102911746990302,0.48367476053473,0.164290704265884,0.0172279534616732,0.432040088901476,-0.0943833209451646,0.129338868374106,-0.270739368842871,0.164120943351073,0.307308598677254,-0.102741991170331,0.193594115316167,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1
3,1,0.144875577413493,0.76139426412017,p31m,D3,0,-0.272442338114156,-0.151571372980166,0.227557660647169,0.21259030909219,0.162184393506999,-0.402503234908918,-0.127566761319988,-0.402503234193782,0.457913829270022,-0.257627656414126,-0.0457729861099867,0.028918894307529,0.454227012639861,0.0321000417900824,-0.294841125888129,0.176975618136703,0.205158874130106,-0.115956684172835,-0.0420861719618969,0.318646592543323,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0
4,1,0.144728148823833,0.759845429322132,p1,C1,0,-0.211417110964496,-0.103482043805382,0.219236049380203,-0.0255912434711099,-0.498481343976285,0.0384515409347179,-0.174766611139404,0.183644564349682,0.108756294590304,0.241951598013151,-0.212775034658087,-0.396183740590304,0.288577119147134,-0.395254967840512,0.0381691558430779,-0.540447254694216,-0.461825074268386,-0.248674330659947,0.0376329286459376,-0.250991453736079,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0
5,3,0.144532565174625,0.75779312745709,cmm,D2,0,0.064880370266622,-0.249230556397358,0.353945500616086,-0.249230568831181,-0.290587062999055,0.184367132904631,0.20941293306597,0.183197145640416,-0.0314167632906689,-0.52178424221476,0.450242633517825,0.0233231172177257,-0.031416773169285,0.0233231259296757,-0.0497573566140664,0.344241152390783,-0.290587062219398,-0.393763127794774,-0.29058706767403,-0.104697997445155,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1
6,1,0.144497814547492,0.757428771913996,cm,D1,0,0.157619668544869,0.185487699690949,-0.127622272442584,0.139060242968474,0.260033281112472,-0.0847527961583211,-0.189538630272536,0.421345273157965,-0.464542533403472,0.0027685822954616,-0.197882518496869,-0.141264517729537,0.0523950379058854,-0.285762332235814,-0.447604962046506,0.29126744245361,-0.448160074852014,-0.285762332318267,-0.197882518449245,-0.430260146824521,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1
7,1,0.144493995758672,0.757388737781791,cm,D1,0,0.437155464198348,0.106732654858307,-0.0639248067944342,-0.18131878498772,-0.446255121667876,-0.267431435577015,0.268514923005353,-0.313884980388238,0.156129906222012,0.328350808617325,-0.301761125817631,0.27182749789495,-0.0514901837443291,0.127333502189245,0.186346135217632,-0.0368247891756941,-0.06284453586263,-0.470304757408609,-0.301761125756446,-0.0171604936225487,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0
8,2,0.144484649522199,0.757290761318858,pm,D1,0,-0.334839224268905,0.0990301937365894,0.378444041109025,0.0630195025759002,0.27688292791799,0.333553411869374,0.0039705716749913,0.238568667830616,-0.270150305955199,-0.182605385758663,-0.260954808856298,0.378394380685006,-0.0131434121414576,0.527030740464363,-0.0086511981191334,-0.33880308709152,-0.0134683632567085,-0.049873942299498,0.239160198595695,-0.190166727312168,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1
9,0,0.144337567297406,0.755749735097586,p6m,D6,0,0.02756247844,-0.483691428212219,-0.22243752156,-0.05067872632,0.27756247844,-0.05067872632,-0.222437521559999,0.237996408274813,0.277562478440001,-0.339353860914813,-0.222437521560001,-0.339353860914813,0.277562478439999,0.237996408274813,0.02756247844,0.0936588409774071,-0.47243752156,-0.195016293617407,0.02756247844,0.382333975572219,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1
10,0,0.144337567297406,0.755749735097586,pmm,D2,0,-0.19104294716,-0.298064564575072,0.0589570528400001,-0.442402131872479,0.0589570528399997,0.134948137317147,0.30895705284,-0.0093894299802595,-0.191042947160001,-0.0093894299802591,0.0589570528399996,0.42362327191196,-0.44104294716,0.134948137317147,0.30895705284,-0.298064564575073,-0.44104294716,-0.153726997277666,-0.19104294716,0.279285704614553,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0
