crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45,contact_graph_46,contact_graph_47,contact_graph_48,contact_graph_49,contact_graph_50,contact_graph_51,contact_graph_52,contact_graph_53,contact_graph_54,contact_graph_55
1,0,0.144337567297406,0.831324708607343,p6m,D6,0,-0.104176831218183,0.145631136296934,-0.104176831218183,0.434306270891748,0.145823168781818,0.0012935689995276,-0.104176831218181,-0.43171913289269,-0.354176831218182,-0.287381565595283,0.395823168781819,0.145631136296934,-0.354176831218182,0.289968703594341,-0.104176831218182,-0.143043998297878,0.395823168781818,-0.143043998297878,-0.354176831218182,0.0012935689995285,0.145823168781818,-0.287381565595284,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
2,1,0.13985725123874,0.780516166488999,p1,C1,0,0.481003734333261,-0.273092606572184,0.201663570081199,-0.258626247947312,-0.295482656978934,-0.0134754889743688,-0.0106432149464376,0.176857893807489,-0.275922606257759,0.265554271646271,-0.239656277755336,-0.287562369869838,-0.0077894420065343,-0.444016751003988,-0.0302032656676046,-0.102171866813161,0.240783671523512,0.299433273293964,0.221223620802342,0.0204035126733268,0.472650507272292,0.142978892159801,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1
3,1,0.139857251238268,0.780516166483736,p2,C2,0,0.0253640547094337,0.246108568806899,0.138443699601585,-0.0772693807019376,0.412284409736528,-0.296538885416331,0.389870586071925,0.045305998781578,0.160857523266188,-0.419114264899846,-0.126835691711324,0.0114269971291156,-0.322436198950563,-0.385235263247384,-0.358702527457737,0.167881378265095,0.409430636795851,0.324335759401076,-0.0710093124802245,-0.262659883763864,-0.378262578181662,-0.111148382354403,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0
4,2,0.139627323923151,0.777951916636906,p2,C2,0,-0.271977586514743,0.12258253951722,0.354327422067388,0.0630606057575361,0.0638777671354795,0.187058591278229,0.118955691395596,0.460827801751141,0.0870863395727176,-0.0912299649169334,-0.145674361784374,-0.245520645930145,-0.398283607250487,-0.126475581148761,0.37156493686172,0.34178273696976,-0.145674361778012,0.371642078111655,0.104325638218809,-0.369951985801459,0.337086339575906,-0.215661304788246,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1
5,2,0.139568846248185,0.77730042104764,p1,C1,0,0.0408655991727531,0.311462302874612,-0.340444125562439,-0.206900107363614,-0.0778254673808069,-0.036201147523841,-0.319566062267909,0.103367244871531,0.401296021148059,-0.31282319054704,0.401296993388465,0.240419211529573,-0.0987035306753364,-0.346468499758987,0.143037064211764,-0.48603689215436,0.180434385908696,0.0697219356595838,0.438693866908792,-0.0362020552289743,0.143036540147962,-0.206899199658481,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0
6,2,0.139568846248,0.777300421045575,cm,D1,0,0.0054679054042744,-0.326971218711608,-0.134100448147225,0.330958876971328,0.403296911492896,-0.258445325774689,-0.354962755651802,0.160261212969312,0.365899551852778,0.297313567759734,0.145037244348197,-0.0852311703150948,0.145037244348202,0.468011231761751,-0.113222422796496,0.0206923667213137,0.107639884708082,0.191390030723329,0.403296911492893,0.020692366721311,-0.3549627556518,-0.118876479526688,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1
7,2,0.139568846247938,0.777300421044888,cm,D1,0,0.354073746816591,0.324130352201087,0.21450490054034,0.0823900193622352,-0.285495099382759,0.39517302107023,-0.264617074070134,-0.194231181742586,-0.0437547665482877,0.255604174786394,-0.285495099424211,0.116035328574354,-0.0063574069460577,0.532225375829813,0.493642593095395,-0.0546623354587496,0.25190226021947,-0.194231181670789,-0.0437547665897388,-0.023533517709483,-0.0063574069106083,-0.300154718742506,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1
8,2,0.139568846247937,0.777300421044881,cmm,D2,0,0.417072293576027,0.333810904941324,0.277503447710965,-0.324119475709923,0.0566411395738302,0.125715881884771,0.0357631141155673,-0.18455063074405,0.298381473169227,-0.013852963081103,0.0566411380934329,0.404853574380646,-0.222496550808638,0.26276823557864,-0.222496553555064,-0.290474166497803,-0.443358859160142,0.0920705726726505,-0.185099192541168,-0.0138529656452305,-0.480756220174037,-0.184550628179922,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0
9,3,0.139507445542876,0.776616653901658,cm,D1,0,0.0061412821662422,-0.36819874148774,0.255783836498487,-0.0746927444041358,-0.244216163409805,0.204320666436772,-0.235849492044846,-0.0916512327072327,0.264150507913129,0.221279154939623,0.285156173252432,-0.368198740740343,0.0054261136175086,0.0484751087153199,-0.49457388640524,0.0811528135524407,0.006141282153232,0.327489083243783,-0.493858717820985,-0.197861160974807,-0.272873608920154,-0.368198740773681,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
10,0,0.139269262739895,0.773967063061425,p1,C1,0,0.481524217805729,0.0619267115414183,0.0524304276170973,-0.0394649980107806,0.227827838608758,0.176913047072252,-0.26229194269119,-0.153575570193235,-0.0723574044878446,-0.357312119133156,0.19489146498268,-0.278815291533185,-0.180818184731327,0.112780839416951,-0.382422866284585,0.304976735711193,-0.115173996814153,0.383473563310987,0.156234299349034,0.446093423980988,0.466299761145803,-0.216195430863435,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1
