crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,coords_19,coords_20,coords_21,coords_22,coords_23,coords_24,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36,contact_graph_37,contact_graph_38,contact_graph_39,contact_graph_40,contact_graph_41,contact_graph_42,contact_graph_43,contact_graph_44,contact_graph_45,contact_graph_46,contact_graph_47,contact_graph_48,contact_graph_49,contact_graph_50,contact_graph_51,contact_graph_52,contact_graph_53,contact_graph_54,contact_graph_55,contact_graph_56,contact_graph_57,contact_graph_58,contact_graph_59,contact_graph_60,contact_graph_61,contact_graph_62,contact_graph_63,contact_graph_64,contact_graph_65,contact_graph_66
1,0,0.144337567297406,0.906899682117108,p6m,D6,0,0.263629131841667,-0.0750887231916667,-0.486370868158333,-0.219426290489073,0.263629131841667,-0.36376385778648,-0.486370868158333,0.0692488441057398,0.0136291318416666,0.0692488441057397,0.0136291318416667,-0.219426290489073,0.263629131841667,0.213586411403146,0.0136291318416667,0.357923978700553,-0.236370868158333,-0.0750887231916667,0.0136291318416667,-0.508101425083886,-0.236370868158333,-0.36376385778648,-0.236370868158333,0.213586411403146,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0
2,0,0.138675049056307,0.837138168108098,p6,C6,0,-0.387879802169231,-0.0510433642197573,0.419812505523077,0.14880865203819,0.0351971209076924,0.548512684554085,0.0736586593692305,-0.184278041725056,0.150581736292308,0.0821913132855412,0.265966351676923,-0.384130057983003,-0.118649032938462,0.0155739745328918,-0.195572109861538,-0.250895380477705,-0.310956725246154,0.215425990790839,-0.0417259560153846,0.282043329543488,-0.0032644175538462,-0.450747396735652,0.227504813215385,0.348660668296137,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1
3,1,0.137145942588824,0.818778470336648,p2,C2,0,-0.163183553966956,-0.393431301642461,0.28498091535029,-0.271842623244571,0.199670989138341,0.23505008111124,0.422126372244993,-0.0342986022138334,-0.370528590860982,-0.213864951928147,-0.007674047755685,0.414616430825554,0.473962874315416,0.235050641942172,0.147834487067917,-0.0342991630447653,-0.111347051896532,-0.124082057486456,-0.266855586720134,0.324833536383863,-0.318692088790558,0.0554842922278577,-0.0595105498261085,0.145267186669549,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1
4,1,0.137145942588792,0.818778470336265,p3,C3,0,0.471123967416613,-0.145360855320541,-0.202747678600993,0.123988866441769,0.40092444285938,0.271749445003772,-0.0807125013885986,0.451315297906041,0.193579383788581,0.451315769110493,0.0564338492750174,0.213771792892905,0.263778908345816,0.0342054687861825,-0.254584147406206,-0.145360384116088,-0.339894029264609,0.361532371454906,0.211942439540603,-0.235143781771675,0.0045973804698049,-0.0555774576649529,-0.0472390883354077,-0.32492670822281,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1
5,2,0.135045378368862,0.793889282578016,p2,C2,0,0.0435095117913644,0.453513609816208,0.329984020228444,0.288117475255017,0.257035003353305,-0.247115659404641,-0.313253233987932,-0.0621971593549696,-0.0997277424255036,0.103198975207419,0.418509511792972,-0.030609308460091,0.168509511792978,0.0716111243073343,-0.206490488209126,0.351293177049982,-0.206490488209125,-0.310291361199606,-0.420015979771559,0.185897042487592,0.0070350033533073,-0.144895226637215,0.0435095117908744,-0.412511793967031,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1
6,2,0.13397459621584,0.781349611685364,p1,C1,0,-0.341805990475509,0.255814712597821,-0.109755476986597,0.121839607020992,0.0242189721890564,-0.378160138298333,-0.377705257577573,-0.146110094771356,-0.24373022024214,-0.378160647659643,0.390243640773737,-0.280084181625565,0.0242186781091701,0.353890669270587,0.390244817093293,0.255814203236508,0.390244228933514,-0.0121349891945288,0.158193127284823,-0.146109076048738,0.158193715444601,0.121840116382298,-0.109756065146375,-0.146109585410045,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0
7,2,0.133974596215561,0.78134961168211,p6m,D6,0,0.153897591469876,0.426823087759356,-0.212127812239014,-0.207151508499823,-0.114051600961248,0.426823087598807,0.385948398975261,0.0248992990760163,0.25197380289874,-0.207151508573136,-0.346102408593616,0.02489929898878,0.385948399017589,0.292848491507139,0.153897591427548,0.158873895328234,0.0199229953086992,-0.341126104752041,-0.346102408551288,0.292848491419902,0.0199229953510267,-0.073176912320918,-0.114051601003575,0.158873895167684,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1
8,1,0.133974596215561,0.78134961168211,p6m,D6,0,0.105410528173123,-0.446488135408115,-0.394589471827545,0.1515880759452,0.337461335742335,-0.312513539193133,0.0695121433102102,0.151588075944043,-0.162538664259002,0.0176134797290597,0.0695121433108784,0.419537268375166,-0.0285640680429391,-0.214437327839528,-0.162538664257999,-0.446488135408694,-0.296513260474062,-0.214437327840106,0.337461335741333,0.151588075944621,0.203486739526272,-0.0804627316245452,0.471435931957395,-0.0804627316239665,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1
9,2,0.133974596215561,0.781349611682107,cmm,D2,1,0.1809567037,0.2955027813,-0.286872650894512,-0.276725205805489,-0.0548218442457126,-0.410699803614672,0.177228966083397,-0.0087760165616104,-0.054821840565403,0.125198581247572,0.445178156674365,-0.276725208287575,-0.188796438930512,0.357249387575408,-0.420847247419467,0.223274792953468,0.44517815851452,-0.0087760158564518,-0.286872649054358,-0.0087760133743672,0.177228964243242,-0.276725208992733,-0.0548218424055578,-0.14275061118355,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1
10,1,0.133974596215561,0.781349611682107,cm,D1,0,-0.224599978411658,0.337867969540115,-0.456650786001823,-0.0640558190942785,0.275400021581245,0.203893373324554,-0.0906253822138373,-0.430081222884862,-0.22459997842585,0.0699187771089923,0.0433492140194642,0.337867969552406,-0.322676189775618,-0.29610662665701,0.141425425362137,-0.296106626681592,0.275400021567054,-0.0640558191065688,0.0433492140052728,0.0699187771212831,-0.0906253821996446,-0.16213203045374,0.409374617793259,-0.296106626669301,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0
