crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10
1,0,0.198071747848315,0.711597335482879,p31m,D3,0,-0.14522341504,0.0793222736958504,0.35477658496,-0.209352860898962,0.083490138838169,-0.498027995493775,0.240419808020916,0.169925660442348,-0.259580191979085,-0.29995624764546,0,1,1,1,1,1,1,1,1,1
2,1,0.195497567229425,0.69322139851538,cmm,D2,0,0.106207882121081,-0.205948829121573,-0.0141030450935098,0.566730963208174,0.410710315195797,0.321464855289793,-0.318605477559944,0.0393172784456158,0.0460524187365746,0.18039106707799,1,1,0,1,0,1,1,1,1,1
3,2,0.188982236504613,0.647785487226501,p2,C2,0,-0.444643530697143,-0.0082710458894595,-0.158929244982857,0.239164783763235,-0.087500673554286,-0.131988960715809,-0.0160721021257141,-0.503142705194854,0.19821361216,0.115446868936888,0,1,0,1,0,1,1,1,1,1
4,1,0.183012701892219,0.607507593598302,p3m1,D3,1,-0.1213097616,0.3228146342,-0.011744810483971,-0.102017341369048,-0.377770214268409,-0.102017341373171,-0.19475751237262,-0.41900463947889,0.305242487625,0.0809953605211097,0,0,0,0,1,1,1,1,1,1
5,2,0.183012701892219,0.607507593598301,cm,D1,0,0.0124410531231118,-0.379703429553701,0.0124410531228983,-0.0136780257692628,-0.487558946876673,0.120296570446299,0.195453755015439,0.303309272338332,-0.304546244984775,-0.196690727661667,1,1,0,0,0,1,1,1,1,1
6,2,0.178411044886781,0.577341423638628,cm,D1,0,0.244621697627103,0.355115600529639,0.244621697627309,-0.332499120369673,-0.350870456859685,-0.16710280480677,-0.350870456859685,0.189719284966793,0.340112548764959,0.0113082400800115,0,1,0,1,0,1,1,1,1,1
7,2,0.178411044886545,0.5773414236371,cmm,D2,1,0.2745773885,0.0925511743,-0.182204604874837,0.0379747052628701,0.0677953926563818,0.470987406481204,-0.0867131045282465,-0.305832474870984,-0.277696110153299,0.38178188402691,0,0,0,0,0,1,1,1,1,1
8,3,0.177725008780741,0.572909909282908,p2,C2,0,0.487492407623144,-0.149275758769568,0.217332183656147,-0.380269629620202,0.102412295640274,0.168240007696442,-0.242346240598126,0.0817167930357829,0.447170831878562,0.254763222357546,1,0,1,0,0,0,1,1,1,1
9,4,0.173205080756888,0.544139809270265,cmm,D2,0,0.185315899647643,0.437214924944142,0.385315898972181,-0.255605399253343,0.485315899777877,0.264009844412825,0.0853158980647125,-0.0824003200682377,-0.214684099062414,0.0908047656646134,1,1,0,0,0,1,0,0,1,1
10,2,0.166666666666667,0.503833156731727,pmg,D2,2,-0.0269102495,-0.0526594314,0.282433627,0.4017405502,0.357847692880295,-0.323300596683436,-0.475485640453223,-0.0346254620885167,-0.308818973727073,0.254049672471953,0,0,0,0,0,0,0,1,1,1
11,4,0.166666666666666,0.503833156731722,cmm,D2,0,0.415582622605548,0.261050391313155,0.0822492892722149,0.261050391313252,-0.417750710727743,-0.0276247432816318,0.415582622605509,-0.316299877876398,-0.251084044061119,0.261050391313206,1,0,0,1,0,0,1,1,1,1
12,3,0.144337567297406,0.377874867548795,p6m,D6,0,-0.217858925059718,-0.264449925113773,0.0321410749399179,0.168562776778493,-0.467858925060089,0.168562776778388,-0.217858925060055,0.0242252094810399,0.282141074939945,0.312900344075853,0,0,1,1,0,1,1,1,1,0
13,3,0.125,0.283406150661596,pmm,D2,1,-0.3952740026,0.0927725044,-0.10374848195,-0.237458505870466,-0.35374848195,-0.237458505873428,0.14625151805,-0.237458505885659,0.39625151805,-0.237458505870446,0,0,0,0,1,1,0,0,1,1
14,4,0.1,0.181379936423422,cmm,D2,0,0.38321639208,-0.0569916742000671,-0.41678360792,-0.0569916742000054,0.18321639208,-0.0569916742000658,-0.21678360792,-0.0569916741999706,-0.01678360792,-0.0569916741998911,1,1,0,0,0,1,0,0,1,1
