crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15
1,0,0.188982236504613,0.777342584671806,p6,C6,0,-0.300942954195238,-0.262305058943914,0.0561999029476192,-0.386022973770262,-0.086657239909524,0.356284515187828,-0.372371525623809,0.108848685535131,-0.0152286684809524,-0.0148692292912173,0.341914188661905,-0.138587144117566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,0.183012701892219,0.729009112317963,cmm,D2,0,-0.414811587450238,0.0715329669677719,0.0851884123502375,-0.160517840601105,-0.414811587516746,-0.294492436816667,0.0851884124167458,0.205507563183333,-0.0978242894422194,-0.477505138766484,-0.231798885657781,0.388520265133151,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1
3,1,0.183012701892219,0.729009112317962,p31m,D3,0,-0.473959657606293,0.276344660104562,-0.107934253842278,-0.0896807436444999,0.392065746198571,-0.223655339860062,-0.107934253821854,0.276344660139938,0.209053044275715,0.0933319582300308,-0.290946955703861,-0.406668041769969,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1
4,1,0.183012701892219,0.729009112317961,p6m,D6,0,0.0727810636582459,-0.26402653478882,0.438806467442684,-0.264026534790431,0.25579376555093,0.418986167102593,-0.24420623445093,0.285011570887032,0.0727810636573159,0.101998868995618,0.438806467441754,0.101998868994008,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
5,1,0.183012701892219,0.729009112317959,cm,D1,0,0.329146067735931,0.219944193859332,0.0121587696403755,0.0369314919459404,-0.487841230408524,-0.0970431042696216,0.195171471495922,-0.280055806183015,-0.30482852847963,0.219944193816985,0.0121587696159253,0.402956895730378,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
6,2,0.178411044886781,0.692809708366353,cm,D1,1,-0.3584863143,0.3682538306,0.414270925812462,-0.153964728755593,-0.085729074187447,0.0244459541986907,0.318778771450114,0.189842269726999,-0.181221228549887,-0.319361044283877,0.0097617770747576,0.368253314613781,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1
7,2,0.178411044886545,0.69280970836452,pmm,D2,0,0.0238157563574978,-0.368712971613872,-0.167167249267555,0.318901387284022,-0.417167249257498,-0.114111314542421,0.273815756367555,0.0642997303441243,0.178324253529797,0.408106909786063,-0.0716757464297974,-0.0249057921579172,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0
8,2,0.178411044886545,0.69280970836452,cmm,D2,2,-0.4446819966,0.0065092469,0.3733904419,-0.3086000055,0.214354191288403,0.281967397801078,-0.0356458094352027,-0.15104530402231,0.059845694035926,-0.494852483288331,-0.131137311589126,0.192761875609562,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
9,3,0.178410926063854,0.692808785535034,p1,C1,0,-0.0895259022,0.0096445617,0.1603686581,-0.4237908012,0.3149874002,0.1750398397,0.4105896174,-0.1687366181,-0.1850141207,-0.3341632833,0.0059692046,0.3534504935,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1
10,3,0.177725008780728,0.687491891139389,p2,C2,1,-0.2443306099,-0.0662575039,-0.16189352471471,-0.440035496846121,-0.326766864045292,0.307521192532341,0.255669805620002,-0.0662571521568855,0.0029803756525377,0.544460208404035,0.0083592355874626,0.18905089106663,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
