crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28
1,0,0.166666666666666,0.80613305077076,p6m,D6,0,0.472239846066667,-0.238100349697406,0.138906512733334,0.339249919492219,-0.361093487266667,0.0505747848974062,0.138906512733333,-0.238100349697406,-0.0277601539333336,-0.526775484292219,-0.0277601539333332,0.0505747848974063,-0.1944268206,-0.238100349697406,0.3055731794,0.0505747848974065,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
2,0,0.165359456941537,0.793537221852468,cmm,D2,0,0.35794742485,0.271056981482637,-0.0795525751499997,-0.270208895882637,0.0454474248499999,0.379310156955692,0.29544742485,-0.0537025449365274,-0.32955257515,0.162803806009582,0.23294742485,-0.378462071355692,-0.01705257515,0.0545506305365275,-0.39205257515,-0.161955720409583,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0
3,1,0.162419680224075,0.765572862025561,cmm,D2,0,-0.423163476242357,0.0641271464143796,0.151037995319512,-0.389232932775305,0.0026350517211616,0.517487226426116,0.1823571336167,0.206199449340989,-0.0286840865760262,-0.0779451556901781,-0.173163476479663,-0.368885555066814,0.295517385223149,-0.0982925333986695,-0.141844338182475,0.226546827049481,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0
4,1,0.160366291552713,0.746337735748666,p2,C2,0,-0.199845669628389,0.0405042527151736,-0.45321154066,-0.156155670151362,0.0730710115600003,-0.225595550865858,-0.180294859471611,-0.422255473732393,-0.313387329034194,0.340467052816877,0.116700565152903,0.0921556913327574,0.0031589057470979,0.392118491434462,0.433246799934194,0.143807129950342,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
5,1,0.160366291552107,0.746337735743035,cmm,D2,1,0.3040257309,0.2535628593,-0.331527243694462,0.118939205181327,-0.0586095930483947,0.385038641807558,-0.128522267058468,-0.232675728541549,0.23838543031561,-0.129371828254004,-0.445068418371429,-0.181023778397777,0.124844255638645,-0.429334811833107,-0.0149810923815019,0.0672872550375535,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0
6,2,0.159074095500358,0.734358545525472,p1,C1,1,-0.0334422963,-0.0583886379,-0.34171630893875,-0.238856505525743,0.238963045872764,-0.288327371348658,-0.130653189452438,0.287494060467347,0.317061010514476,0.0200862784073971,-0.0004941862552639,-0.49779933944609,-0.370110421580467,0.0780220923699149,0.186677245839679,0.310290250375831,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
7,3,0.15891862259789,0.732923779417421,p31m,D3,0,0.0578859759527267,0.358240827892219,-0.166858895438863,-0.348865953294329,0.333141104561136,0.199322205294329,-0.258610604975,0.0695656932974065,0.241389395025,-0.219109441297406,-0.442114024047274,-0.189947330696438,0.0578859759527265,0.0404035826964379,0.108396233169547,-0.507784575892219,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0
8,3,0.158013906556525,0.724602533916591,cm,D1,1,-0.1266325582,-0.1720845151,-0.110546386304036,0.20315496184819,0.190291280090379,0.0294662541730678,-0.478217815009773,-0.242960638315203,-0.0122204483229057,-0.512004343413523,-0.392975145131789,0.0613537811477759,0.208702234730956,-0.286024816081288,0.171881737747168,0.344957406840983,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0
9,2,0.15513325512517,0.698423813315836,cmm,D2,0,-0.340261117537083,-0.0341075806285924,-0.222525222251522,0.252952633166757,0.39104020241448,-0.189240835358684,0.201306712437083,0.139387208653592,0.47000539248552,0.294520463383684,0.0835708171515226,-0.147673005141757,-0.185127862525781,-0.302806260514673,0.046173457425781,0.408085888539673,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1
10,3,0.15513325512517,0.698423813315836,cmm,D2,2,-0.3566593472,-0.0267748913,0.0074143057,0.5461661005,0.230510755211264,-0.173317063871053,-0.0797557550390758,-0.17331706382376,0.230510755237718,0.136949446379287,-0.269489244823472,0.382441829663046,-0.0797557550126215,0.13694944642658,-0.0797557550738122,-0.4835835740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0
