crit_number,index,radius,density,wallpaper_group,point_group,rattler_number,coords_1,coords_2,coords_3,coords_4,coords_5,coords_6,coords_7,coords_8,coords_9,coords_10,coords_11,coords_12,coords_13,coords_14,coords_15,coords_16,coords_17,coords_18,contact_graph_1,contact_graph_2,contact_graph_3,contact_graph_4,contact_graph_5,contact_graph_6,contact_graph_7,contact_graph_8,contact_graph_9,contact_graph_10,contact_graph_11,contact_graph_12,contact_graph_13,contact_graph_14,contact_graph_15,contact_graph_16,contact_graph_17,contact_graph_18,contact_graph_19,contact_graph_20,contact_graph_21,contact_graph_22,contact_graph_23,contact_graph_24,contact_graph_25,contact_graph_26,contact_graph_27,contact_graph_28,contact_graph_29,contact_graph_30,contact_graph_31,contact_graph_32,contact_graph_33,contact_graph_34,contact_graph_35,contact_graph_36
1,0,0.166666666666666,0.906899682117107,p6m,D6,0,0.331630677411111,0.352705169872591,-0.0017026559222222,-0.224645099317035,-0.335035989255555,0.352705169872591,-0.335035989255556,-0.224645099317035,0.164964010744444,0.0640300352777779,0.498297344077778,0.0640300352777779,-0.0017026559222222,0.352705169872591,-0.168369322588889,0.0640300352777779,0.331630677411111,-0.224645099317035,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
2,1,0.153001204422878,0.764278160434449,p1,C1,0,-0.0331603063117057,0.205359964052417,0.39344088706802,0.322349004138512,-0.232442936328298,-0.127880846068851,-0.488164527463081,0.0401784947810429,0.355415778055646,-0.251994956995937,0.049455422730736,-0.246921970808283,0.206828935304744,0.0155109763601774,-0.301957734518366,0.351597499620042,0.124213206262306,0.467792911220877,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0
3,1,0.152986104469076,0.764127312008398,p2,C2,0,-0.409291112026982,0.0832482632991911,-0.11471475788821,-0.453129161796493,-0.163929068931246,0.266049960365654,0.13992319902459,0.230094544910026,0.0114018132054845,-0.0475765663522532,-0.0354076831157622,0.543721071629609,0.317304139814852,-0.0541156196069866,0.15868999027487,-0.315765278900096,-0.262002934957596,-0.184940449248651,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0
4,2,0.152970077648154,0.763967220473811,cm,D1,0,0.189124385083171,0.112403291009432,-0.114935963774881,0.0785405847524101,0.066420174544871,0.39265863054626,-0.386060027320669,0.220283735518681,0.30810497342324,-0.309438021970376,-0.28097172183643,-0.193536864232011,0.454076331626982,-0.0405667866050348,0.0249684334598787,-0.193536864252664,-0.128001644206161,-0.458488810766697,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1
5,2,0.152950236586131,0.763769051809646,p1,C1,0,0.0730670762632795,0.0984060750150424,0.251829434151335,0.346638061046893,0.101470753946565,-0.206172864803649,0.0736625675094417,-0.510806750400921,-0.106978838447707,0.345708659075335,-0.286850831498492,-0.215942229848455,-0.274423095678465,0.0897056899373695,0.407251028717008,-0.214747423003719,0.419678764537035,0.0909004967821052,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1
6,3,0.152842726024917,0.762695704268142,cmm,D2,0,0.100541834978277,0.0005952816167472,-0.317032257961248,0.112483921016555,0.212430475092663,0.418169374852244,0.29485638226933,-0.335967388463259,0.37775227566484,0.129428379729278,-0.149636121129704,-0.175059453225628,-0.454965660394911,-0.16031265536956,0.0176459415319945,-0.464800486466544,-0.0523008916512415,0.265326648310166,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
7,2,0.152820546035393,0.762474360986276,p2,C2,0,-0.0302585909995784,-0.116742685945856,-0.377537748939899,-0.122262071603459,0.31702056646176,-0.111223300297299,0.127568987811294,0.438164905480224,0.311913829835532,0.194375126405544,-0.0119897321325583,-0.421837303987407,-0.0485274502019961,0.188351932075611,-0.35411213131848,0.182479979320397,-0.206405051016075,0.450060052552246,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1
8,2,0.152820521802533,0.76247411917412,p1,C1,0,-0.0282768929599992,0.388976359117386,-0.0193159198789632,0.083466705427957,-0.204240424056497,-0.159883608503809,-0.180228545135334,-0.464579977380554,0.1253635416378,-0.470050264177188,0.462765180275599,-0.171539301640618,0.157173093502467,-0.166069014843999,-0.379701369005967,0.0903760653020959,0.314706544220896,0.0958463520987271,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1
9,3,0.152781770658714,0.762087482644224,cm,D1,0,-0.286373991681304,-0.317419671432437,-0.286373991649058,-0.0118561301150087,0.21362600816953,0.243042191034573,0.0608442376932475,-0.307692203354433,0.366407779010676,-0.307692203307146,0.0329763908080637,-0.0034021100348641,0.394275625628863,-0.003402109963125,-0.439155762348723,0.252769659112577,-0.133592221031295,0.252769659159864,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,1
10,3,0.152779361135096,0.762063445047323,pm,D1,0,0.483015307858416,0.0231243082401471,-0.245835816066997,-0.117745914869216,-0.093690914387153,0.163812802171318,0.309334137617288,-0.276281597155523,-0.122434950782509,-0.397278308702976,0.0737087236049412,0.436537373868245,-0.350530296539749,0.329341242419108,0.211867752319612,0.163997073105199,0.0592480022761503,-0.100716630076303,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1
11,3,0.152754486391761,0.761815314811793,p2,C2,0,-0.0407100847446108,-0.55173668099111,-0.368901900792402,0.0287575588158498,-0.212518268696584,-0.266205517013924,-0.0998217137727877,0.173435080928765,0.0184015442839867,0.455142364657255,0.36201869028413,-0.115921410438982,0.056561140227069,-0.121526547759437,0.214144106566813,-0.38325797722638,0.204435723944386,0.145810019027962,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0
